match_id,round,team_a,team_b,matchup_probability,team_a_win_probability_given_matchup,team_b_win_probability_given_matchup,favorite,favorite_win_probability,simulated_occurrences
M73,R32,South Africa,Canada,1.0,0.381417,0.618583,Canada,0.618583,1000000
M74,R32,Germany,Paraguay,1.0,0.890639,0.109361,Germany,0.890639,1000000
M75,R32,Netherlands,Morocco,1.0,0.489183,0.510817,Morocco,0.510817,1000000
M76,R32,Brazil,Japan,1.0,0.596306,0.403694,Brazil,0.596306,1000000
M77,R32,France,Sweden,1.0,0.983206,0.016794,France,0.983206,1000000
M78,R32,Ivory Coast,Norway,1.0,0.472307,0.527693,Norway,0.527693,1000000
M79,R32,Mexico,Ecuador,1.0,0.816186,0.183814,Mexico,0.816186,1000000
M80,R32,England,DR Congo,1.0,0.914273,0.085727,England,0.914273,1000000
M81,R32,United States,Bosnia and Herzegovina,1.0,0.981082,0.018918,United States,0.981082,1000000
M82,R32,Belgium,Senegal,1.0,0.612027,0.387973,Belgium,0.612027,1000000
M83,R32,Portugal,Croatia,1.0,0.570499,0.429501,Portugal,0.570499,1000000
M84,R32,Spain,Austria,1.0,0.930092,0.069908,Spain,0.930092,1000000
M85,R32,Switzerland,Algeria,1.0,0.632829,0.367171,Switzerland,0.632829,1000000
M86,R32,Argentina,Cape Verde,1.0,0.993861,0.006139,Argentina,0.993861,1000000
M87,R32,Colombia,Ghana,1.0,0.95881,0.04119,Colombia,0.95881,1000000
M88,R32,Australia,Egypt,1.0,0.461449,0.538551,Egypt,0.538551,1000000
M89,R16,Germany,France,0.875727,0.1970465681656498,0.8029534318343502,France,0.8029534318343502,875727
M90,R16,Canada,Morocco,0.315749,0.0812544141074081,0.9187455858925919,Morocco,0.9187455858925919,315749
M91,R16,Brazil,Norway,0.314435,0.7011337796364908,0.2988662203635091,Brazil,0.7011337796364908,314435
M92,R16,Mexico,England,0.746182,0.4669919671072205,0.5330080328927795,England,0.5330080328927795,746182
M93,R16,Portugal,Spain,0.530739,0.2784871660081509,0.7215128339918491,Spain,0.7215128339918491,530739
M94,R16,United States,Belgium,0.600615,0.26858636564188376,0.7314136343581162,Belgium,0.7314136343581162,600615
M95,R16,Argentina,Egypt,0.535191,0.8888116578940977,0.11118834210590238,Argentina,0.8888116578940977,535191
M96,R16,Switzerland,Colombia,0.606747,0.4245278509823699,0.5754721490176301,Colombia,0.5754721490176301,606747
M97,QF,France,Morocco,0.385791,0.6818043966811045,0.31819560331889546,France,0.6818043966811045,385791
M98,QF,Spain,Belgium,0.313025,0.802574874211325,0.19742512578867502,Spain,0.802574874211325,313025
M99,QF,Brazil,England,0.229129,0.4676274063955239,0.5323725936044761,England,0.5323725936044761,229129
M100,QF,Argentina,Colombia,0.531412,0.7489650214899174,0.25103497851008255,Argentina,0.7489650214899174,531412
M101,SF,France,Spain,0.340753,0.5491925236168134,0.45080747638318663,France,0.5491925236168134,340753
M102,SF,England,Argentina,0.23448,0.3284715114295462,0.6715284885704538,Argentina,0.6715284885704538,234480
M104,F,France,Argentina,0.189017,0.49535226990164904,0.504647730098351,Argentina,0.504647730098351,189017
