team,Round of 16,Quarterfinal,Semifinal,Final,Champion
Argentina,0.993861,0.891349,0.697207,0.500412,0.295836
France,0.983206,0.808838,0.571122,0.378002,0.229964
Spain,0.930092,0.693784,0.596132,0.323459,0.182055
England,0.914273,0.538733,0.336018,0.14201,0.059963
Morocco,0.510817,0.476772,0.182239,0.090063,0.038921
Mexico,0.816186,0.411491,0.244396,0.096236,0.037573
Netherlands,0.489183,0.454538,0.169607,0.082258,0.034563
Brazil,0.596306,0.425182,0.212246,0.083328,0.032355
Colombia,0.95881,0.596316,0.179877,0.083946,0.028505
Portugal,0.570499,0.17982,0.124622,0.040342,0.013896
Japan,0.403694,0.252598,0.102019,0.031507,0.009733
Germany,0.890639,0.185793,0.073118,0.026421,0.007905
Belgium,0.612027,0.450661,0.121872,0.028908,0.007533
Switzerland,0.632829,0.282032,0.068561,0.026881,0.00738
Croatia,0.429501,0.111353,0.070208,0.018805,0.005333
Norway,0.527693,0.1766,0.05306,0.011585,0.002436
Ivory Coast,0.472307,0.14562,0.040431,0.008111,0.001585
Senegal,0.387973,0.24748,0.046727,0.007568,0.001316
Egypt,0.538551,0.062463,0.02156,0.005905,0.001053
Algeria,0.367171,0.118219,0.018656,0.005172,0.000905
Australia,0.461449,0.0454,0.014033,0.003445,0.000558
United States,0.981082,0.301768,0.034936,0.003266,0.00035
Ecuador,0.183814,0.037251,0.009818,0.00129,0.000183
Austria,0.069908,0.015043,0.005503,0.000538,7.4e-05
DR Congo,0.085727,0.012525,0.002012,0.000167,1.4e-05
Canada,0.618583,0.051729,0.002967,0.000304,1.1e-05
Ghana,0.04119,0.003433,6.1e-05,3e-06,0.0
Cape Verde,0.006139,0.000788,4.5e-05,2e-06,0.0
Paraguay,0.109361,0.002726,0.000221,1.7e-05,0.0
Bosnia and Herzegovina,0.018918,9.1e-05,0.0,0.0,0.0
South Africa,0.381417,0.016961,0.000507,2.5e-05,0.0
Sweden,0.016794,0.002643,0.000219,2.4e-05,0.0
